cluster_label,size,prototype_sequence,dominant_roles,gpa_distribution,transition_matrix
Isolate/mediator,75,"['Isolate', 'Mediator', 'Mediator', 'Mediator', 'Mediator', 'Mediator', 'Mediator', 'Mediator', 'Mediator', 'Mediator', 'Mediator', 'Mediator', 'Mediator', 'Mediator', 'Mediator', 'Mediator', 'Mediator', 'Mediator', 'Mediator', 'Mediator']","['Mediator', 'Isolate', 'Leader']","{'Low': 0.387, 'Middle': 0.373, 'High': 0.24}","{'Isolate': {'Isolate': 0.4426, 'Mediator': 0.2249, 'Leader': 0.0615}, 'Mediator': {'Isolate': 0.4731, 'Mediator': 0.5759, 'Leader': 0.5769}, 'Leader': {'Isolate': 0.0843, 'Mediator': 0.1992, 'Leader': 0.3615}}"
Mainly leader,54,"['Leader', 'Leader', 'Leader', 'Leader', 'Leader', 'Leader', 'Leader', 'Leader', 'Leader', 'Leader', 'Mediator', 'Leader', 'Leader', 'Mediator', 'Leader', 'Leader', 'Mediator', 'Mediator', 'Mediator', 'Mediator']","['Leader', 'Mediator', 'Isolate']","{'Low': 0.222, 'Middle': 0.315, 'High': 0.463}","{'Isolate': {'Isolate': 0.1458, 'Mediator': 0.072, 'Leader': 0.0278}, 'Mediator': {'Isolate': 0.625, 'Mediator': 0.5385, 'Leader': 0.3183}, 'Leader': {'Isolate': 0.2292, 'Mediator': 0.3896, 'Leader': 0.6539}}"
Mediator/leader,71,"['Mediator', 'Isolate', 'Mediator', 'Mediator', 'Mediator', 'Mediator', 'Mediator', 'Mediator', 'Mediator', 'Mediator', 'Mediator', 'Mediator', 'Mediator', 'Mediator', 'Mediator', 'Mediator', 'Mediator', 'Mediator', 'Mediator', 'Mediator']","['Mediator', 'Isolate', 'Leader']","{'Low': 0.352, 'Middle': 0.324, 'High': 0.324}","{'Isolate': {'Isolate': 0.4393, 'Mediator': 0.2193, 'Leader': 0.0709}, 'Mediator': {'Isolate': 0.4623, 'Mediator': 0.5642, 'Leader': 0.5101}, 'Leader': {'Isolate': 0.0984, 'Mediator': 0.2166, 'Leader': 0.4189}}"
