cluster_raw,size,mean_final_grade,mean_engagement_score,mean_achievement_score,prototype_engagement,prototype_achievement,dominant_combined_states,cluster_id,cluster_label
2,22,78.58,2.852,2.96,"['Active', 'Active', 'Active', 'Active', 'Active', 'Active', 'Active', 'Active']","['Achiever', 'Achiever', 'Achiever', 'Achiever', 'Achiever', 'Achiever', 'Achiever', 'Achiever']","['Active | Achiever', 'Average | Achiever', 'Active | Intermediate']",1,Cluster 1
3,15,73.3,2.467,2.567,"['Active', 'Active', 'Active', 'Active', 'Average', 'Average', 'Average', 'Average']","['Achiever', 'Achiever', 'Achiever', 'Achiever', 'Achiever', 'Intermediate', 'Achiever', 'Achiever']","['Active | Achiever', 'Average | Achiever', 'Average | Intermediate']",2,Cluster 2
0,46,66.14,2.043,1.823,"['Average', 'Average', 'Average', 'Average', 'Average', 'Average', 'Average', 'Average']","['Low', 'Intermediate', 'Low', 'Intermediate', 'Low', 'Low', 'Intermediate', 'Intermediate']","['Average | Intermediate', 'Average | Low', 'Active | Intermediate']",3,Cluster 3
5,19,75.42,2.013,2.789,"['Average', 'Average', 'Average', 'Average', 'Average', 'Average', 'Average', 'Average']","['Achiever', 'Achiever', 'Achiever', 'Achiever', 'Achiever', 'Achiever', 'Achiever', 'Achiever']","['Average | Achiever', 'Average | Intermediate', 'Active | Achiever']",4,Cluster 4
4,16,60.24,1.992,1.172,"['Average', 'Average', 'Average', 'Average', 'Average', 'Average', 'Average', 'Average']","['Low', 'Low', 'Low', 'Low', 'Low', 'Low', 'Low', 'Low']","['Average | Low', 'Disengaged | Low', 'Average | Intermediate']",5,Cluster 5
1,24,58.89,1.302,1.141,"['Disengaged', 'Disengaged', 'Disengaged', 'Disengaged', 'Disengaged', 'Disengaged', 'Disengaged', 'Disengaged']","['Low', 'Low', 'Low', 'Low', 'Low', 'Low', 'Low', 'Low']","['Disengaged | Low', 'Average | Low', 'Disengaged | Intermediate']",6,Cluster 6
