student_id,InDegree,OutDegree,Closeness_total,Betweenness,Eigen,Diffusion.degree,Coreness,Cross_clique_connectivity
1,20,33,0.0010952902519167,1258.1431850498,0.205523262433316,1865,18,305
2,2,5,0.0008084074373484,26.5242892484615,0.0107177894012629,218,6,13
3,2,4,0.0007987220447284,30.6011203976538,0.0086239241177376,191,6,11
4,2,14,0.001019367991845,72.5234541440775,0.0802648337822226,965,13,37
5,16,17,0.0010604453870625,309.032739077208,0.161503653583146,1508,18,154
6,9,24,0.0010764262648008,250.376549721826,0.155009498233724,1607,18,141
7,32,26,0.0011135857461024,1934.72005657755,0.230204108522762,2088,21,588
8,13,18,0.0010604453870625,163.707895577107,0.136390256752636,1483,18,131
9,2,12,0.001039501039501,69.5153191501915,0.119348228247647,1216,13,50
10,8,12,0.001058201058201,716.350787330521,0.0874871528576683,1432,17,88
11,47,74,0.0011415525114155,1030.12567842698,0.536752923502057,2694,31,1423
12,6,18,0.0009017132551848,113.935619019416,0.0792423385538272,896,18,71
13,20,15,0.0010504201680672,396.273653180458,0.0814983741216172,1420,18,241
14,5,20,0.0010615711252653,323.501552479594,0.0851784950291187,1583,18,204
15,13,18,0.001081081081081,824.080998755294,0.0918144938259554,1632,17,174
16,2,1,0.0007610350076103,2.45963678850313,0.0085424676612464,130,3,5
17,2,22,0.0010649627263045,292.625716701615,0.0822010944171813,1573,17,221
18,0,19,0.0010482180293501,125.139861015774,0.0681777720750051,1243,12,62
19,44,35,0.0011135857461024,3477.08291858399,0.324637711701878,1940,26,364
20,1,2,0.0007535795026375,9.97811035732088,0.0101110122903686,94,3,3
21,2,0,0.000752445447705,0.790230966612789,0.0036688846499034,78,2,3
22,8,15,0.0010504201680672,97.1915579519831,0.168219272815968,1431,17,90
23,6,0,0.0007874015748031,5.44973797869207,0.0180802120751498,284,6,16
24,21,36,0.0011123470522803,1388.29054206523,0.255122294181237,2092,21,553
25,6,6,0.0009900990099009,215.016984023853,0.0528201458270186,740,10,12
26,22,12,0.0010672358591248,853.11516542416,0.0890963590789355,1617,18,194
27,13,18,0.0010427528675703,990.433819992416,0.111022984300499,1273,17,143
28,0,1,0.0007220216606498,0.0,0.0013039917298124,21,1,2
29,12,23,0.0010845986984815,1758.32221012226,0.0910494828540753,1690,17,234
30,32,58,0.0011185682326621,1082.03921033042,0.400889147705762,2224,28,624
31,0,1,0.000734214390602,0.0,0.0013570880839906,36,1,2
32,11,4,0.0009940357852882,348.105114013227,0.0254295296807234,775,10,31
33,17,6,0.0010214504596527,263.057232442345,0.0553454644712057,1020,13,69
34,17,22,0.0010764262648008,568.848424847175,0.136816977586914,1834,21,418
35,15,19,0.0010416666666666,669.360240273681,0.132226852557472,1280,18,112
36,26,21,0.0011111111111111,2369.63714136631,0.155457597826836,1785,18,265
37,7,4,0.0008130081300813,56.0357924525629,0.0159166865346497,314,9,23
38,7,2,0.0010070493454179,52.4812897061642,0.0240341490194769,771,9,22
39,5,13,0.0010504201680672,318.410070944678,0.112357005095636,1321,14,74
40,0,1,0.0006269592476489,0.0,0.0009526790229993,36,1,2
41,29,6,0.0008658008658008,647.99060676734,0.0639169508547617,762,18,89
42,10,9,0.0008291873963515,115.959281567659,0.0481324557859958,418,12,23
43,1,7,0.0007917656373713,13.5338943924032,0.0134537326922095,250,7,14
44,47,70,0.0011494252873563,3068.9224638793,0.468289190748718,2608,31,1168
45,1,2,0.0009900990099009,29.4644831774193,0.0193875217620294,684,3,5
46,2,9,0.0008810572687224,130.254015345183,0.0191762967829537,525,8,16
47,0,5,0.0008554319931565,15.5516045637759,0.0166120275610714,481,5,11
48,2,4,0.0009871668311944,51.7756650487379,0.0187293424409136,651,6,8
49,19,23,0.001081081081081,1250.76967433837,0.148528364282238,1819,18,307
50,16,14,0.0010626992561105,484.352945224916,0.0999589520649787,1598,18,160
51,6,13,0.001039501039501,32.6934911455405,0.0673800053407184,1185,18,43
52,4,13,0.0008944543828264,88.152123718673,0.042741203316431,728,14,64
53,19,16,0.0009337068160597,682.311194044751,0.0694507886747562,1323,18,336
54,14,28,0.0010834236186348,1345.39743632516,0.147961629052881,1744,18,255
