student_id,InDegree,OutDegree,Closeness_total,Betweenness,Eigen,Diffusion.degree,Coreness,Cross_clique_connectivity,cluster
303,5,2,0.001,228.9672,0.0362,1087,5,24,2
304,0,2,0.001,0.0,0.0154,590,2,4,2
305,1,1,0.001,0.0,0.0172,630,2,4,2
306,4,0,0.0007,39.829,0.0021,55,3,5,2
307,3,3,0.0008,50.7875,0.0319,350,4,6,2
308,8,0,0.001,87.8979,0.0291,806,8,19,2
309,0,1,0.0007,0.0,0.0022,43,1,2,2
310,29,1,0.001,2616.6729,0.0662,933,10,56,2
311,0,1,0.0007,0.0,0.001,31,1,2,2
312,0,1,0.0007,0.0,0.001,31,1,2,2
313,0,1,0.0007,0.0,0.001,31,1,2,2
314,0,2,0.001,0.0,0.0159,613,2,4,2
315,0,2,0.0007,1.3672,0.0019,45,2,4,2
316,0,1,0.0007,0.0,0.001,31,1,2,2
317,1,5,0.001,10.9665,0.0425,958,6,10,2
318,2,2,0.001,0.0,0.0424,959,4,8,2
319,2,2,0.0008,31.5933,0.012,358,4,6,2
320,0,3,0.001,37.8213,0.0265,930,3,8,2
321,1,1,0.0007,1.7393,0.0018,29,2,3,2
322,4,1,0.001,271.3732,0.0254,743,4,11,2
323,1,2,0.0008,0.0,0.0211,342,3,4,2
324,4,0,0.001,38.9227,0.0171,631,4,8,2
325,1,1,0.001,0.0,0.0156,598,2,4,2
326,0,3,0.001,0.0,0.026,931,3,8,2
327,0,1,0.0007,0.0,0.0007,16,1,2,2
328,0,1,0.0007,0.0,0.0007,9,1,2,2
329,3,6,0.001,84.0662,0.073,984,8,18,2
330,1,2,0.001,199.5382,0.015,592,3,4,2
331,2,4,0.001,0.3333,0.0609,610,6,6,2
332,0,1,0.0007,0.0,0.0002,4,1,2,2
333,0,2,0.001,7.8757,0.0155,604,2,3,2
334,2,0,0.0008,0.4935,0.0105,184,2,4,2
335,4,2,0.001,6.2401,0.0383,730,6,10,2
336,9,3,0.0011,377.5952,0.0434,1265,9,52,2
337,3,1,0.001,187.5045,0.0153,602,3,5,2
338,1,3,0.001,0.0,0.0458,615,4,4,2
339,1,1,0.001,14.235,0.0171,625,2,4,2
340,1,2,0.001,197.1708,0.0152,592,2,5,2
341,9,2,0.0009,86.0695,0.0332,620,9,34,2
342,3,1,0.001,328.691,0.0165,608,3,7,2
343,1,1,0.001,0.0,0.0151,586,2,4,2
344,1,1,0.001,97.7935,0.0149,586,2,3,2
345,2,1,0.001,32.3986,0.0182,642,3,8,2
346,1,2,0.001,0.0,0.0298,589,3,3,2
347,2,3,0.001,198.4911,0.0336,1052,4,13,2
348,0,1,0.0007,0.0,0.0033,54,1,2,2
349,0,1,0.0007,0.0,0.0033,54,1,2,2
350,5,1,0.001,35.0008,0.0199,704,6,12,2
351,5,1,0.0009,23.5529,0.0249,411,6,7,2
352,0,1,0.0007,0.0,0.0013,31,1,2,2
353,0,2,0.0007,0.804,0.0036,60,2,3,2
354,0,3,0.001,0.0,0.0258,928,3,8,2
355,1,3,0.001,74.4735,0.0452,590,4,4,2
356,3,2,0.001,4.5596,0.0326,629,4,10,2
357,0,2,0.001,51.7846,0.0154,589,2,3,2
358,1,1,0.001,0.0,0.0184,648,2,4,2
359,0,1,0.0007,0.0,0.0008,10,1,2,2
360,0,4,0.001,44.9758,0.0165,631,4,7,2
361,1,20,0.0008,337.1515,0.0231,445,10,35,2
362,0,1,0.001,0.0,0.0149,582,1,2,2
363,0,1,0.001,0.0,0.0149,582,1,2,2
364,0,1,0.001,0.0,0.0149,582,1,2,2
365,0,1,0.001,0.0,0.0149,582,1,2,2
366,0,2,0.001,0.0,0.0298,583,2,2,2
367,0,1,0.001,0.0,0.0149,582,1,2,2
368,0,1,0.001,0.0,0.0149,582,1,2,2
369,0,1,0.001,0.0,0.0149,582,1,2,2
370,0,1,0.0007,0.0,0.0005,11,1,2,2
371,0,1,0.001,0.0,0.0149,582,1,2,2
372,0,1,0.001,0.0,0.0149,582,1,2,2
373,0,1,0.001,0.0,0.0149,582,1,2,2
374,0,1,0.001,0.0,0.0149,582,1,2,2
375,0,1,0.001,0.0,0.0149,582,1,2,2
376,0,3,0.001,0.0,0.0402,916,3,4,2
377,0,2,0.001,0.0,0.0253,915,2,4,2
378,0,2,0.001,0.0,0.0253,915,2,4,2
379,0,2,0.001,0.0,0.0253,915,2,4,2
380,0,1,0.001,0.0,0.0149,582,1,2,2
381,0,1,0.001,0.0,0.0149,582,1,2,2
382,0,2,0.001,0.0,0.0253,915,2,4,2
383,0,1,0.001,0.0,0.0149,582,1,2,2
384,0,1,0.001,0.0,0.0149,582,1,2,2
385,0,1,0.001,0.0,0.0149,582,1,2,2
386,0,1,0.001,0.0,0.0149,582,1,2,2
387,0,1,0.001,0.0,0.0149,582,1,2,2
388,0,2,0.001,0.0,0.0253,915,2,4,2
389,0,1,0.001,0.0,0.0149,582,1,2,2
390,0,1,0.001,0.0,0.0149,582,1,2,2
391,0,1,0.001,0.0,0.0149,582,1,2,2
392,0,1,0.001,0.0,0.0149,582,1,2,2
393,0,1,0.001,0.0,0.0149,582,1,2,2
394,0,1,0.001,0.0,0.0149,582,1,2,2
395,0,1,0.001,0.0,0.0149,582,1,2,2
396,0,1,0.001,0.0,0.0149,582,1,2,2
397,0,3,0.001,0.0,0.0402,916,3,4,2
398,0,1,0.001,0.0,0.0149,582,1,2,2
399,0,2,0.001,0.0,0.0253,915,2,4,2
400,0,1,0.001,0.0,0.0149,582,1,2,2
401,0,1,0.001,0.0,0.0149,582,1,2,2
402,0,1,0.001,0.0,0.0149,582,1,2,2
403,0,2,0.001,0.0,0.0253,915,2,4,2
404,0,1,0.001,0.0,0.0149,582,1,2,2
405,0,1,0.001,0.0,0.0149,582,1,2,2
406,0,3,0.001,0.0,0.0402,916,3,4,2
407,0,1,0.001,0.0,0.0149,582,1,2,2
408,0,1,0.001,0.0,0.0149,582,1,2,2
409,0,2,0.001,0.0,0.0253,915,2,4,2
410,0,3,0.001,0.0,0.0357,916,3,4,2
411,0,1,0.001,0.0,0.0149,582,1,2,2
412,0,1,0.001,0.0,0.0149,582,1,2,2
413,1,1,0.001,0.0,0.0298,583,2,2,2
414,0,1,0.001,0.0,0.0149,582,1,2,2
415,0,2,0.001,0.0,0.0298,583,2,2,2
416,0,1,0.0008,0.0,0.0104,333,1,2,2
417,0,1,0.0008,0.0,0.0104,333,1,2,2
418,0,1,0.0008,0.0,0.0104,333,1,2,2
419,0,1,0.0008,0.0,0.0104,333,1,2,2
420,0,1,0.0008,0.0,0.0104,333,1,2,2
421,0,1,0.0008,0.0,0.0104,333,1,2,2
422,3,1,0.0008,4.0905,0.0081,92,4,5,2
423,0,1,0.0008,0.0,0.0104,333,1,2,2
424,0,1,0.001,0.0,0.0149,582,1,2,2
425,0,1,0.001,0.0,0.0149,582,1,2,2
426,0,1,0.001,0.0,0.0149,582,1,2,2
427,0,1,0.001,0.0,0.0149,582,1,2,2
428,0,1,0.001,0.0,0.0149,582,1,2,2
429,0,1,0.001,0.0,0.0149,582,1,2,2
430,0,1,0.001,0.0,0.0149,582,1,2,2
431,0,1,0.001,0.0,0.0149,582,1,2,2
432,5,38,0.0009,1192.2821,0.0846,1119,18,239,2
433,1,1,0.0008,0.0,0.0208,334,2,2,2
434,1,2,0.0008,8.5678,0.0132,395,3,6,2
435,0,1,0.0008,0.0,0.0104,333,1,2,2
436,0,1,0.0008,0.0,0.0104,333,1,2,2
437,1,1,0.0007,0.0,0.0039,36,2,2,2
438,1,1,0.0008,7.5254,0.0111,353,2,3,2
439,1,1,0.0007,0.0,0.0033,33,2,2,2
440,0,1,0.001,0.0,0.0149,582,1,2,2
444,475,106,0.0017,58205.5874,1.0,4342,31,2830,1
445,276,56,0.0013,16690.4261,0.6992,3574,31,2218,1
